Components,Delivery and Customer Support,Design and Aesthetics,Dimensions,Features,Functionality,Installation,Material,Price,Quality,Usability,Polarity
0.1790834,0.041055232,0.030686706,0.00639385,0.012785584,0.25285655,0.0012976229,0.06503543,0.007173121,0.84669363,0.012916476,0.07551566
0.0073681176,0.026186198,0.011153519,0.029685885,0.022650152,0.90769684,0.00047042966,0.0005387366,0.06701985,0.07381496,0.0037743151,0.9685313
0.003231287,3.748498e-05,0.001360923,0.0066996515,0.021358669,0.06984931,0.0018603504,0.00072166324,0.006073326,0.024420232,0.9981992,0.99847543
0.009890765,0.005826205,0.0056224465,0.005753964,0.03476596,0.9801023,0.00209862,0.0005864799,0.011829406,0.11908463,0.007921457,0.9839318
0.0095795095,0.033843517,0.079934776,0.20934379,0.047895223,0.37930146,0.02808991,0.008857727,0.05244425,0.74277735,0.03991747,0.98887897
0.115146846,0.04501447,0.06684995,0.07994774,0.031220704,0.16458872,0.023085475,0.030206114,0.013106912,0.48641798,0.027304977,0.15991494
0.006342143,0.012871146,0.013346404,0.0069423616,0.011121899,0.10883668,0.001437366,0.020597517,0.013903707,0.9983964,0.013388872,0.96037054
0.019793302,0.039225668,0.024780571,0.01189965,0.021997243,0.13210726,0.0030539632,0.035349816,0.06456372,0.98758024,0.031621873,0.8763623
0.04670158,0.035679936,0.12575114,0.14127037,0.14737454,0.70481783,0.014957964,0.012338489,0.03383398,0.24879333,0.06722307,0.8775051
0.05144453,0.038671136,0.09718031,0.20020348,0.07697144,0.8102786,0.0031707585,0.0046410263,0.04181817,0.038269937,0.07713246,0.7816578
0.01196593,0.0008481145,0.014905393,0.006868154,0.04972002,0.8402205,0.97581565,0.0004736185,0.0030237436,0.020661712,0.035481364,0.99578
0.00489071,0.0020519495,0.0060169995,0.0010784268,0.0071049035,0.035194457,0.9146252,0.0013427138,0.89418924,0.08461207,0.037447423,0.9959881
0.036003023,0.07528791,0.23580363,0.5556913,0.09098613,0.28667885,0.008325517,0.009770006,0.32429406,0.051567495,0.10245317,0.75844157
0.0030373037,0.0018804669,0.006010115,0.017950743,0.031179965,0.99445504,0.0015790164,4.2000567e-05,0.008289069,0.005791515,0.0068995655,0.9973049
0.01792425,0.047741234,0.10080734,0.028694153,0.03549269,0.13370776,0.011704057,0.09145853,0.063252866,0.99169564,0.05965486,0.96137226
0.12610778,0.026352674,0.084671825,0.008237481,0.01202938,0.03978029,0.14674824,0.120304495,0.015185088,0.7789794,0.04723555,0.21951473
0.03524643,0.03400168,0.09898713,0.09172097,0.07063234,0.8652327,0.0036889613,0.005133271,0.04284191,0.10093814,0.012732089,0.8440204
0.08261302,0.12010968,0.04305917,0.10649896,0.11905545,0.24512315,0.044666708,0.024169296,0.535521,0.41565037,0.07739517,0.58857673
0.05207452,0.0058280528,0.02530837,0.10475451,0.05623135,0.16178477,0.00528425,0.01387012,0.0196549,0.10247776,0.94677514,0.8686103
0.009010822,0.031007648,0.018020391,0.021800607,0.0360426,0.27499998,0.0058586895,0.004648328,0.938543,0.11411771,0.02557394,0.96816635
0.04121086,0.0074754655,0.0047876835,0.0043869913,0.058582723,0.95193464,0.0004220903,0.0026700795,0.012519717,0.17073935,0.09278023,0.85525024
0.02281186,0.09046286,0.097964585,0.06772211,0.06415048,0.36305714,0.0032793581,0.016769826,0.83437765,0.2857038,0.028290808,0.8978939
0.02298376,0.026587903,0.113117665,0.043287635,0.039889783,0.50808936,0.0019664466,0.048535347,0.006448239,0.92341006,0.18299764,0.9673352
0.009035289,0.0023865998,0.035345048,0.07250166,0.022934675,0.026248008,0.30949706,0.0091891885,0.017133147,0.37689072,0.7123084,0.98993397
0.045699507,0.011208564,0.048573583,0.09686169,0.116496235,0.6790433,0.06026849,0.010521024,0.027189195,0.08081645,0.5918845,0.9612329
0.1589295,0.06504327,0.20380232,0.07516274,0.1448614,0.49647805,0.054717124,0.08728531,0.028205097,0.6658431,0.09412131,0.5343904
0.009794682,0.029228747,0.017537832,0.047237217,0.024089247,0.10852972,0.05866584,0.0059462786,0.07955119,0.879375,0.0072884858,0.90881085
0.1488063,0.0073753297,0.0026482344,0.000533849,0.0034084916,0.4528395,0.0001552403,0.008156985,0.0005273223,0.6841129,0.0025953948,0.013972044
