postcode,Accident_risk_index
AB10 1AU,1.3500183184985788
AB10 1PG,1.3323845578229394
AB10 1TT,1.3519787604075653
AB10 1YP,1.3558892919773686
AB10 6LQ,1.333383469868634
AB10 6NN,1.332637983746998
AB10 7FT,1.3834541295242224
AB10 7JP,1.4750573882865232
AB10 7LY,1.4781254711575496
AB11 5BD,1.3401278771661773
AB11 5BU,1.3507830982928486
AB11 5EJ,1.3804191007840025
AB11 5HS,1.3552936211171782
AB11 5PA,1.3425986143976623
AB11 5QW,1.3841027174587615
AB11 6BG,1.3298933654571599
AB11 6EZ,1.3524133568576495
AB11 6JS,1.3254536025326837
AB11 6JX,1.318753142085318
AB11 6JY,1.3508841845076434
AB11 7BH,1.4196761707521965
AB11 7DG,1.3573671304964086
AB11 7LH,1.3542129459889953
AB11 7XY,1.3633568777733172
AB11 8JA,1.3696879025685171
AB11 8SR,1.3535972432890824
AB11 8TD,1.3351945801536238
AB11 9DS,1.3394459748255687
AB11 9PE,1.3526960024043966
AB11 9QQ,1.3329618380715271
AB12 3AF,1.3435422495454805
AB12 3HY,1.343009689767691
AB12 3JB,1.3559859919237152
AB12 3LL,1.3684243726413239
AB12 3RE,1.3448407053704483
AB12 3ZR,1.376645288274588
AB12 4LQ,1.3609265162112494
AB12 4TS,1.3805342959365974
AB12 5AA,1.3501490268803469
AB12 5BS,1.343673073086633
AB12 5UL,1.3987652094441476
AB12 5UT,1.3394216978008946
AB12 5WF,1.4350527281337668
AB12 5YN,1.4257762189598473
AB12 9SA,1.4462243744151724
AB14 0PS,1.4179314462509451
AB14 0RR,1.4310172971113126
AB15 4TN,1.4425821065269817
AB15 4YD,1.4511018871950527
AB15 6BT,1.437806131189576
AB15 6EE,1.4280036007114811
AB15 8BQ,1.491654837520282
AB15 8DP,1.4717810236365785
AB15 8GG,1.369746560462588
AB15 8PD,1.395945279523123
AB15 8PP,1.3575076502449377
AB15 8PT,1.3874667557453577
AB15 8PX,1.3646060254798356
AB15 8QS,1.3903598034525084
AB15 8RT,1.3858240352987705
AB15 8SP,1.3793347341259024
AB15 8UL,1.3655816255760715
AB15 9LD,1.4270956361047873
AB16 5HU,1.3897524727796724
AB16 5JU,1.3976225858188107
AB16 5UW,1.3646388324582686
AB16 6QL,1.391680804752411
AB16 6QU,1.3681686342207406
AB16 7PG,1.368188947066749
AB21 0HU,1.3795997763419194
AB21 0LU,1.3863139799866
AB21 0PN,1.3912926500086993
AB21 0QS,1.3851385897125161
AB21 0SH,1.404523753053154
AB21 0TT,1.4233365732069352
AB21 0TX,1.386439384676955
AB21 7AS,1.410487737526723
AB21 7BL,1.3904882744794431
AB21 7PA,1.3845250617000364
AB21 7PQ,1.3834725533148287
AB21 9AU,1.3902263347181791
AB21 9BB,1.4099670939314075
AB21 9BE,1.4064115128094807
AB21 9BH,1.3766912531090192
AB21 9EY,1.3939148991146761
AB21 9HW,1.4314610939115349
AB21 9NN,1.4321812629992463
AB21 9PU,1.3877241453736504
AB21 9SG,1.393604098897051
AB21 9SR,1.4261055820285815
AB22 8HB,1.4064252317384391
AB22 8PB,1.3977552890034362
AB22 8QR,1.4033728189979775
AB22 8SW,1.36375462990124
AB22 8TL,1.3964703340841313
AB22 8WQ,1.3717868002588054
AB22 8ZQ,1.4146888798400157
AB22 8ZR,1.3689066045590026
AB23 8BY,1.4129501963049027
AB23 8EE,1.3897412183438487
AB23 8HP,1.4018619606621678
AB23 8HS,1.4033797267998769
AB23 8SH,1.3600788569573143
AB23 8SR,1.392020530172363
AB23 8UN,1.3856880863476093
AB23 8UP,1.3848176450782765
AB23 8XY,1.406454937742147
AB23 8YY,1.3882640370998145
AB24 1TN,1.3847105123774248
AB24 1XQ,1.381871477434125
AB24 2BP,1.3727259449902318
AB24 2SR,1.3811431823337244
AB24 3DF,1.3584890005281551
AB24 3DQ,1.4028564380438544
AB24 4EX,1.4260838200009422
AB24 4RD,1.3690750396854026
AB24 5BA,1.427942012407675
AB24 5BW,1.3855404906354016
AB24 5LN,1.3953827645109542
AB24 5NY,1.3928656352231248
AB24 5RS,1.4238334802495087
AB25 1DL,1.4095503217899175
AB25 1EP,1.3946021447071135
AB25 1RX,1.404502575601064
AB25 1SJ,1.3985498140386372
AB25 1US,1.3958187319271584
AB25 2EL,1.3996593968787296
AB25 2PD,1.3825375520444596
AB25 2QU,1.393427663171019
AB25 2QW,1.3980803252290668
AB25 2SG,1.3990681154114704
AB25 3BD,1.3943948523320222
AB25 3DD,1.3924492900861942
AB25 3RX,1.3946702676181142
AB30 1HB,1.3971981908205544
AB30 1HF,1.4133656869802966
AB30 1NJ,1.382976900201844
AB30 1PQ,1.4128869329307294
AB30 1US,1.3786198295173704
AB31 4HD,1.347585820224295
AB31 4JQ,1.3912303915313238
AB31 5HR,1.41394989186076
AB31 5NU,1.3911459183372974
AB31 5QX,1.381164788560658
AB31 6BN,1.3868891233378677
AB31 6BQ,1.3948130955394622
AB32 6FB,1.398542487214435
AB32 6HW,1.428846761355682
AB32 6XL,1.395654885143097
AB32 6XQ,1.4265711799254996
AB32 6YL,1.3635088758809335
AB32 6YR,1.3960114253439488
AB32 7AW,1.383378540279938
AB32 7ED,1.4076295712074143
AB33 8DH,1.4066249296817597
AB33 8ED,1.3992763195263835
AB33 8HH,1.4000810670382478
AB33 8JS,1.3883053411798856
AB33 8RB,1.4111355278082527
AB34 4YT,1.4009717660441592
AB34 5BB,1.3660706408323908
AB35 5SD,1.3964734392607507
AB35 5SS,1.398413805304696
AB35 5XU,1.394599873611103
AB36 8YJ,1.4073521453096016
AB37 9EH,1.4638585380764815
AB38 7AQ,1.4740915971552504
AB38 9LS,1.3926955286469327
AB38 9NS,1.3944213695436745
AB38 9RT,1.3521832680265207
AB38 9SR,1.3662319199182251
AB39 2AU,1.389882146151678
AB39 2RH,1.3878279012345973
AB39 2XQ,1.3789092920188726
AB39 2XR,1.3690534608975107
AB39 3PB,1.3584902500425082
AB39 3SS,1.3709881335607406
AB41 6AZ,1.326716359675023
AB41 6BW,1.3305308500191835
AB41 6QT,1.3846514441209612
AB41 6RU,1.3681163540639951
AB41 7PD,1.3560305993787574
AB41 8RB,1.354052603177547
AB41 8UX,1.3695728182402962
AB42 0RX,1.3633124685944948
AB42 1PU,1.3628668289929107
AB42 1ST,1.3720465353512992
AB42 1SY,1.3776216329090074
AB42 2AD,1.3872360244390287
AB42 2GB,1.371494364184531
AB42 3AL,1.3356035291380628
AB42 3BF,1.3602376669786833
AB42 3EN,1.3979791656942555
AB42 4EU,1.3853445830850704
AB42 4NY,1.3653530508626393
AB42 4PL,1.3714917039758492
AB42 5EB,1.3738032283901458
AB42 5EE,1.3655235432406654
AB42 5FF,1.366731473289292
AB43 6NF,1.3881217240970756
AB43 6PU,1.3713315470215366
AB43 7AW,1.3552610057830556
AB43 7EB,1.3717589550901546
AB43 7TQ,1.3593905677374571
AB43 8RH,1.359104798438785
AB43 8RN,1.3302368543727008
AB43 8TH,1.3614718029221267
AB43 8TL,1.3623320863450807
AB43 8YH,1.3711697201506121
AB43 8YP,1.3874098027051367
AB43 9AU,1.3673862961672714
AB43 9EA,1.3207919539556936
AB43 9QL,1.3884197125088276
AB43 9RH,1.3881772647123458
AB44 1UD,1.3641428314950497
AB45 2AR,1.361466718493985
AB45 2BJ,1.3650621867703912
AB45 2JJ,1.3316920977816333
AB45 2LP,1.376879586092391
AB45 2QS,1.350371333406541
AB45 3AE,1.3475542305753372
AB45 3YX,1.3667782918396605
AB51 0AE,1.3679991346892237
AB51 0BP,1.3827171607238822
AB51 0DA,1.3368047981254685
AB51 0FW,1.3594889843911677
AB51 0LU,1.2873066727498108
AB51 0SU,1.3237954346377308
AB51 0TP,1.3381016713365639
AB51 0XE,1.3634312720044868
AB51 0YJ,1.357153509571725
AB51 3NA,1.3590624334050323
AB51 3XS,1.3606520103799014
AB51 4DL,1.3571690153355231
AB51 4GP,1.3511768429746147
AB51 4RS,1.3629147386971783
AB51 5BB,1.3606482036676706
AB51 5DR,1.3724242115292884
AB51 5LN,1.3627048607760186
AB51 5PB,1.3679634062357187
AB51 7HD,1.3720772548900328
AB51 7JS,1.3877520702373352
AB51 7LQ,1.3774990370619338
AB51 8UJ,1.3209692940698134
AB51 8ZF,1.3726381504491445
AB53 4AD,1.3368315271883213
AB53 4JD,1.3637520556473395
AB53 5PU,1.3588031204575395
AB53 5QN,1.37323197269068
AB53 5SH,1.3663844387064523
AB53 5SQ,1.3589920562581888
AB53 5SR,1.38270234007692
AB53 5TD,1.3549442447452105
AB53 6SL,1.3590017833710148
AB53 6YW,1.3380927739453483
AB53 8BJ,1.3539157995645743
AB53 8EJ,1.3799367126094373
AB54 4JJ,1.3623781316796297
AB54 4NJ,1.3636253494086887
AB54 4SL,1.3624822014392588
AB54 4TJ,1.3596245137130634
AB54 4TL,1.3638825671281087
AB54 6YN,1.3541150522600072
AB54 7JT,1.3321295454660838
AB54 7TH,1.3682211710320193
AB54 7UP,1.3759912171451036
AB55 4AB,1.3635867092055467
AB55 4DY,1.3685912651750285
AB55 5DW,1.3680213562897183
AB55 5DY,1.3913052992631338
AB55 5HF,1.357594223209115
